"model_id","reference_datetime","datetime","variable","prediction"
"GLM-AED",2022-01-01,2022-01-01,"chlorophyll-a",9.10111886013986
"GLM-AED",2022-01-01,2022-01-02,"chlorophyll-a",7.68043746810154
"GLM-AED",2022-01-01,2022-01-03,"chlorophyll-a",7.64786640459006
"GLM-AED",2022-01-01,2022-01-04,"chlorophyll-a",7.56223157292001
"GLM-AED",2022-01-01,2022-01-05,"chlorophyll-a",7.55627164616334
"GLM-AED",2022-01-01,2022-01-06,"chlorophyll-a",7.47275307279118
"GLM-AED",2022-01-01,2022-01-07,"chlorophyll-a",7.40042303206447
"GLM-AED",2022-01-01,2022-01-08,"chlorophyll-a",7.39611178241309
"GLM-AED",2022-01-01,2022-01-09,"chlorophyll-a",7.37725091497405
"GLM-AED",2022-01-01,2022-01-10,"chlorophyll-a",7.20145866790602
"GLM-AED",2022-01-01,2022-01-11,"chlorophyll-a",7.20570458984233
"GLM-AED",2022-01-01,2022-01-12,"chlorophyll-a",7.41323109667447
"GLM-AED",2022-01-01,2022-01-13,"chlorophyll-a",7.23380991618831
"GLM-AED",2022-01-01,2022-01-14,"chlorophyll-a",7.19774954631617
"GLM-AED",2022-01-01,2022-01-15,"chlorophyll-a",7.2455831928032
"GLM-AED",2022-01-01,2022-01-16,"chlorophyll-a",7.45876927509509
"GLM-AED",2022-01-01,2022-01-17,"chlorophyll-a",7.35819595401676
"GLM-AED",2022-01-01,2022-01-18,"chlorophyll-a",6.87121465878258
"GLM-AED",2022-01-01,2022-01-19,"chlorophyll-a",7.15926569977013
"GLM-AED",2022-01-01,2022-01-20,"chlorophyll-a",6.97149317521822
"GLM-AED",2022-01-01,2022-01-21,"chlorophyll-a",6.85363577942381
"GLM-AED",2022-01-01,2022-01-22,"chlorophyll-a",7.25997874363679
"GLM-AED",2022-01-01,2022-01-23,"chlorophyll-a",7.36253420624914
"GLM-AED",2022-01-01,2022-01-24,"chlorophyll-a",7.31496968671306
"GLM-AED",2022-01-01,2022-01-25,"chlorophyll-a",7.68357199325075
"GLM-AED",2022-01-01,2022-01-26,"chlorophyll-a",7.62932984828119
"GLM-AED",2022-01-01,2022-01-27,"chlorophyll-a",8.06718362876307
"GLM-AED",2022-01-01,2022-01-28,"chlorophyll-a",8.36944738571286
"GLM-AED",2022-01-01,2022-01-29,"chlorophyll-a",8.25460237035057
"GLM-AED",2022-01-01,2022-01-30,"chlorophyll-a",8.80527020806243
"GLM-AED",2022-01-01,2022-01-31,"chlorophyll-a",9.1904218072549
"GLM-AED",2022-01-01,2022-02-01,"chlorophyll-a",9.74987417366543
"GLM-AED",2022-01-01,2022-02-02,"chlorophyll-a",9.87616284843766
"GLM-AED",2022-01-01,2022-02-03,"chlorophyll-a",10.049131279158
"GLM-AED",2022-01-01,2022-02-04,"chlorophyll-a",9.76255563206756
"GLM-AED",2022-01-01,2022-02-05,"chlorophyll-a",9.92730552965179
"GLM-AED",2022-01-02,2022-01-02,"chlorophyll-a",11.1702083263889
"GLM-AED",2022-01-02,2022-01-03,"chlorophyll-a",11.0463754589624
"GLM-AED",2022-01-02,2022-01-04,"chlorophyll-a",10.8994349732308
"GLM-AED",2022-01-02,2022-01-05,"chlorophyll-a",10.8890332266184
"GLM-AED",2022-01-02,2022-01-06,"chlorophyll-a",10.762403404034
"GLM-AED",2022-01-02,2022-01-07,"chlorophyll-a",10.6523232119045
